Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"ORDER: The Complaint refers to Exhibits A-G, but Plaintiff has only filed A-C with the Court. See Dkt. Nos. 6-8. Plaintiff is directed to file via ECF Exhibits D-G, and provide proof that those Exhibits were served on Defendant in this action. Plaintiff is directed to provide the Exhibits by 1/30/2018. So Ordered by Magistrate Judge Sanket J. Bulsara on 1/26/2018. (Cardenas, Alex) (Entered: 01/26/2018)",order complaint refers ag ac dkt nos via ecf dg proof serve order,,Complaints,
"Letter Regarding the Court's 1/26/18 Order by LG Capital Funding, LLC (Attachments: # 1 Exhibit D to the Complaint, # 2 Exhibit E to the Complaint, # 3 Exhibit F to the Complaint) (Kehrli, Kevin) (Entered: 01/30/2018)",letter order,letter order,,letter order
"ORDER: Plaintiff's Motion for Default Judgment fails to include a copy of the Notice of Conversion issued on July 1, 2015. Furthermore, Plaintiff fails to provide any backup data for its calculations of the relevant CGNH share price. Plaintiff is directed to provide OTCQB closing bid prices for the 12 trading days prior to 7/1/2015. Plaintiff should also provide the prices for CGNH on 7/7/2015, including the closing bid price and any other price Plaintiff believes is pertinent to its damages calculations. Plaintiff's submission shall be provided by 2/12/2018. So Ordered by Magistrate Judge Sanket J. Bulsara on 2/7/2018. (Cardenas, Alex) (Entered: 02/07/2018)",order motion default judgment fail notice conversion furthermore fail backup data calculation relevant cgnh share price bid price trading prior also price cgnh bid price price believe pertinent calculation order,,"Notices, Motions",
"Letter by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - Conversion, # 2 Exhibit B - Screen-cap, # 3 Exhibit C - July Prices, # 4 Exhibit D - Prices since Conversion) (Kehrli, Kevin) (Entered: 02/12/2018)",letter,letter,,letter
"REPORT AND RECOMMENDATIONS re MOTION for Default Judgment 55 . For the reasons stated in the attached R&R, this Court respectfully recommends that plaintiff's motion for default judgment be granted. This Court also recommends that defendant's counterclaims be dismissed for failure to prosecute and plaintiff's motion to dismiss 24 be denied as moot. Any objections to this R&R must be filed with the Honorable Ann M. Donnelly on or before 3/6/2018. Failure to file objections in a timely manner may waive a right to appeal the District Court order. See 28 U.S.C. § 636(b)(1); Fed. R. Civ. P. 6(a), 6(d), 72. Plaintiff shall serve a copy of this Report and Recommendation on the Defendant and file proof of such service in the record. So Ordered by Magistrate Judge Sanket J. Bulsara on 2/20/2018. (Cardenas, Alex) (Entered: 02/20/2018)",report recommendation motion default judgment reason attached r r respectfully recommend motion default judgment grant also recommend counterclaim dismiss failure prosecute motion dismiss denied moot objection r r honorable failure objection timely manner waive right appeal order u c § r p serve report recommendation proof service order,,"Complaints, Service of Process, Other Answers, Motions",
"AFFIDAVIT of Service for Report and Recommendation, Dkt. 60 served on Macy Tuell, The Corporation Trust Company, Registered Agent of Defendant on February 21, 2018, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 03/01/2018)",affidavit service report recommendation serve registered agent,,Service of Process,
"AFFIDAVIT of Service for Report and Recommendation, Dkt. 60 by U.S. Mail (Additional Service) served on Cardiogenics Holdings, Inc. on February 26, 2018, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 03/01/2018)",affidavit service report recommendation serve,,Service of Process,
"OBJECTION to 60 Report and Recommendations filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 03/06/2018)",objection report recommendation,,Other Answers,
"DECISION AND ORDER. I affirm and adopt Judge Bulsara's R&R in its entirety. I grant the plaintiff's motion for default judgment, and award the plaintiff $23,152.61 in expectation damages, $16,048.50 in attorneys' fess, and $432.04 in costs. In addition, the defendant's counterclaims are dismissed for failure to prosecute, and the plaintiff's motion to dismiss the counterclaims is denied as moot. Ordered by Judge Ann M. Donnelly on 3/8/2018. (Greene, Donna) (Entered: 03/08/2018)",decision order affirm adopt r r entirety grant motion default judgment award expectation fess cost addition counterclaim dismiss failure prosecute motion dismiss counterclaim deny moot order,,"Complaints, Motions",
"CLERK'S JUDGMENT the Plaintiffs motion for default judgment is granted; Plaintiff is awarded a total amount of $39,633.15; the Defendants counterclaims are dismissed; and the Plaintiffs motion to dismiss the counterclaims is denied at moot. Signed by Jaltiza Poveda Deputy Clerk on behalf of Douglas C. Palmer Clerk of Court on 3/9/2018. (Ramesar, Thameera) (Entered: 03/09/2018)",judgment motion default judgment grant award total counterclaim dismiss motion dismiss counterclaim deny moot deputy,,"Complaints, Motions",
"MOTION for Reconsideration re 65 Clerk's Judgment, by LG Capital Funding, LLC. (Attachments: # 1 Memorandum in Support) (Kehrli, Kevin) (Entered: 03/27/2018)",motion reconsideration judgment,,Motions,
"Letter Requesting Oral Argument by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 03/27/2018)",letter request oral argument,,Others,
"ORDER: Oral argument on the plaintiff's motion for reconsideration and reargument is unnecessary; therefore, the plaintiff's request for oral argument 67 is denied. Ordered by Judge Ann M Donnelly on 4/2/2018. (Ngai, Genny) (Entered: 04/02/2018)",order oral argument motion reconsideration reargument unnecessary therefore request oral argument deny order genny,,"Others, Motions",
"Mail Returned as Undeliverable. 64 Decision and Order returned to sender. Postal Notation: Moved/unknown. (Ramesar, Thameera) (Ramesar, Thameera). (Entered: 04/06/2018)",undeliverable decision order sender postal notation move unknown,undeliverable decision order sender postal notation move unknown,,undeliverable decision order sender postal notation move unknown
"Letter dated 4/2/18 from The Corporation Trust Company of Nevada to Judge Donnelly, informing Your Honor that companies ""statutory representation services were discontinued and all process sent to the last known address on their records were returned as undeliverable."" (w/o enc.) (Galeano, Sonia) (Entered: 04/13/2018)",letter inform company statutory representation service discontinue process send last known address undeliverable,,Service of Process,
"COMPLAINT against PositiveID Corporation filing fee $ 400, receipt number 0207-9347548 Was the Disclosure Statement on Civil Cover Sheet completed -YES,, filed by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A - Note, # 2 Exhibit B - Emails, # 3 Exhibit C - Notice of Conversion, # 4 Exhibit D - Default Notice, # 5 Exhibit E - Stock Chart, # 6 Civil Cover Sheet, # 7 Proposed Summons) (Kehrli, Kevin) (Entered: 03/07/2017)",complaint fee receipt number disclosure civil cover sheet complete yes,,Complaints,
"Unsigned Order to Show Cause for Preliminary Relief by LG Capital Funding, LLC (Attachments: # 1 Declaration, # 2 Exhibit A - Note, # 3 Exhibit B - 10Q, # 4 Exhibit C - Emails, # 5 Exhibit D - Notice, # 6 Exhibit E - Default Letter, # 7 Exhibit F - Stock Chart, # 8 Memorandum in Support) (Kehrli, Kevin) (Entered: 03/07/2017)",unsigned order show cause preliminary relief,,Motions,
"Case assigned to Judge Nicholas G. Garaufis and Magistrate Judge Steven M. Gold. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Bowens, Priscilla) (Entered: 03/08/2017)",please download locate website responsible courtesy individual practice,please download locate website responsible courtesy individual practice,,please_download_locate_website responsible_courtesy_individual_practice
"Summons Issued as to PositiveID Corporation. (Bowens, Priscilla) (Entered: 03/08/2017)",summons,,Service of Process,
"In accordance with Rule 73 of the Federal Rules of Civil Procedure and Local Rule 73.1, the parties are notified that if all parties consent a United States magistrate judge of this court is available to conduct all proceedings in this civil action including a (jury or nonjury) trial and to order the entry of a final judgment. Attached to the Notice is a blank copy of the consent form that should be filled out, signed and filed electronically only if all parties wish to consent. The form may also be accessed at the following link: http://www.uscourts.gov/uscourts/FormsAndFees/Forms/AO085.pdf. You may withhold your consent without adverse substantive consequences. Do NOT return or file the consent unless all parties have signed the consent. (Bowens, Priscilla) (Entered: 03/08/2017)",accordance rule federal rule civil procedure local rule notify consent united available conduct civil trial order entry final judgment notice blank consent fill electronically wish consent also access link http www uscourts gov uscourts formsandfees ao085 pdf withhold consent without adverse substantive consequence consent unless consent,,"Notices, Motions",
"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. (Bowens, Priscilla) (Entered: 03/08/2017)",open check quality control correction,open check quality control correction,,open_check_quality_control correction
"ORDER TO SHOW CAUSE as to why an order pursuant to Fed. R. Civ. P. Rule 65 and 28 U.S.C. §2201 should not be entered, pending final determination of this action. Show Cause Hearing set for 3/30/2017 at 04:00 PM in Courtroom 4D South before Judge Nicholas G. Garaufis. Show Cause Response due by 3/23/2017. Reply papers due by 3/28/2017 at 5:00 p.m. So Ordered by Judge Nicholas G. Garaufis on 3/16/2017. (Lee, Tiffeny) (Entered: 03/17/2017)",order show cause order r p rule u c §2201 final determination show cause hearing pm courtroom south show cause response due reply due p order,,"Other Answers, Answers to Complaints, Motions",
"ORDER re 6 Order to Show Cause: Plaintiff is DIRECTED to file by March 28, 2017, at 9:00 AM, proof of service of the 1 Complaint, 3 Summons, and 6 Order to Show Cause upon Defendant. Ordered by Judge Nicholas G. Garaufis on 3/27/2017. (Weigel, Jessica) (Entered: 03/27/2017)",order order show cause proof service complaint summons order show cause upon order,,"Complaints, Service of Process",
"SUMMONS Returned Executed by LG Capital Funding, LLC. PositiveID Corporation served on 3/9/2017, answer due 3/30/2017. (Kehrli, Kevin) (Entered: 03/27/2017)",summons execute serve answer due,,"Service of Process, Answers to Complaints",
"CERTIFICATE OF SERVICE by LG Capital Funding, LLC re Order, 2 Unsigned Order to Show Cause, 6 Order to Show Cause, (Kehrli, Kevin) (Entered: 03/27/2017)",certificate service order unsigned order show cause order show cause,,Service of Process,
"CERTIFICATE OF SERVICE by LG Capital Funding, LLC re Order, 2 Unsigned Order to Show Cause, 8 Certificate of Service, 6 Order to Show Cause, (Corrected) (Kehrli, Kevin) (Entered: 03/27/2017)",certificate service order unsigned order show cause certificate service order show cause,,Service of Process,
"NOTICE of Appearance by Jonathan C. Uretsky on behalf of PositiveID Corporation (aty to be noticed) (Uretsky, Jonathan) (Entered: 03/29/2017)",notice appearance,,Notices,
