Original Docket Text,Organization Portion,Name Portion,Identifying Org and Name,Stripped Org and Name,Removed unnecessary POS & vocab_x,DT Topics,Removed unnecessary POS & vocab DT_x,Apply Trigram Phrase Model_x,Removed unnecessary POS & vocab_y,Removed unnecessary POS & vocab DT_y,Apply Trigram Phrase Model_y,New Topocs,Action [Y/N],If Y
"Unsigned Order to Show Cause by LG Capital Funding, LLC (Attachments: # 1 Declaration in Support, # 2 Exhibit A, # 3 Exhibit B, # 4 Exhibit C, # 5 Exhibit D, # 6 Exhibit E, # 7 Exhibit F, # 8 Exhibit G, # 9 Memorandum in Support, # 10 Exhibit A, # 11 Exhibit B, # 12 Exhibit C) (Kehrli, Kevin) (Entered: 06/28/2016)",LG Capital Funding,Kevin,"Unsigned Order to Show Cause by -ORG- -ORG- -ORG- , LLC ( Attachments : # 1 Declaration in Support , # 2 Exhibit A , # 3 Exhibit B , # 4 Exhibit C , # 5 Exhibit D , # 6 Exhibit E , # 7 Exhibit F , # 8 Exhibit G , # 9 Memorandum in Support , # 10 Exhibit A , # 11 Exhibit B , # 12 Exhibit C ) ( Kehrli , -NAME- ) ( Entered : 06/28/2016 )","Unsigned Order to Show Cause by , LLC ( Attachments : # 1 Declaration in Support , # 2 Exhibit A , # 3 Exhibit B , # 4 Exhibit C , # 5 Exhibit D , # 6 Exhibit E , # 7 Exhibit F , # 8 Exhibit G , # 9 Memorandum in Support , # 10 Exhibit A , # 11 Exhibit B , # 12 Exhibit C ) ( Kehrli , ) ( Entered : 06/28/2016 )",unsigned order show cause,,unsigned order show cause,unsigned order show_cause,['unsigned order show cause'],['unsigned order show cause'],['unsigned order show_cause'],Motion,Y,Triage
"Case assigned to Judge LaShann DeArcy Hall and Magistrate Judge James Orenstein. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Bowens, Priscilla) (Entered: 06/29/2016)",Individual Practices of the assigned Judges,LaShann DeArcy Hall James Orenstein Bowens Priscilla,"Case assigned to Judge -NAME- -NAME- -NAME- and Magistrate Judge -NAME- -NAME- . Please download and review the -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( -NAME- , -NAME- ) ( Entered : 06/29/2016 )","Case assigned to Judge and Magistrate Judge . Please download and review the , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( , ) ( Entered : 06/29/2016 )",please download locate website responsible courtesy individual practice,,please download locate website responsible courtesy individual practice,please_download_locate_website responsible_courtesy_individual_practice,"['assign .', 'please download locate website .', 'responsible courtesy individual practice .']","['assign .', 'please download locate website .', 'responsible courtesy individual practice .']","['assign .', 'please_download_locate_website .', 'responsible_courtesy_individual_practice .']",System Msg,N,
"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. (Bowens, Priscilla) (Entered: 06/29/2016)",,Bowens Priscilla,"This attorney case opening filing has been checked for quality control . See the attachment for corrections that were made , if any . ( -NAME- , -NAME- ) ( Entered : 06/29/2016 )","This attorney case opening filing has been checked for quality control . See the attachment for corrections that were made , if any . ( , ) ( Entered : 06/29/2016 )",open check quality control correction,,open check quality control correction,open_check_quality_control correction,"['open filing check quality control .', 'correction .']","['open filing check quality control .', 'correction .']","['open_filing_check_quality control .', 'correction .']",System Msg,N,
"ORDER TO SHOW CAUSE re 2 : Let Deft FLASR show cause before Judge LaShann DeArcy Hall as to why an order pursuant to Fed.R.Civ.P. Rule 65 and 28 U.S.C. 2201 should not be entered, pending final determination of this action, against FLSR (see order for details). Show Cause Hearing set for August 12, 2016 at 11:00 AM in Courtroom 4H North before Judge LaShann DeArcy Hall.. Ordered by Judge LaShann DeArcy Hall on July 8, 2016. (Fernandez, Erica) (Entered: 07/08/2016)",,LaShann DeArcy Hall LaShann DeArcy Hall Fernandez Erica,"ORDER TO SHOW CAUSE re 2 : Let Deft FLASR show cause before Judge -NAME- -NAME- -NAME- as to why an order pursuant to Fed.R.Civ.P . Rule 65 and 28 U.S.C . 2201 should not be entered , pending final determination of this action , against FLSR ( see order for details ) . Show Cause Hearing set for August 12 , 2016 at 11:00 AM in Courtroom 4H North before Judge LaShann DeArcy Hall.. Ordered by Judge -NAME- -NAME- -NAME- on July 8 , 2016 . ( -NAME- , -NAME- ) ( Entered : 07/08/2016 )","ORDER TO SHOW CAUSE re 2 : Let Deft FLASR show cause before Judge as to why an order pursuant to Fed.R.Civ.P . Rule 65 and 28 U.S.C . 2201 should not be entered , pending final determination of this action , against FLSR ( see order for details ) . Show Cause Hearing set for August 12 , 2016 at 11:00 AM in Courtroom 4H North before Judge LaShann DeArcy Hall.. Ordered by Judge on July 8 , 2016 . ( , ) ( Entered : 07/08/2016 )",order show cause let deft flasr show cause order feed r p rule u c final determination flsr show cause hearing courtroom north lashann dearcy hall order,,order show cause let deft flasr show cause order feed r p rule u c final determination flsr show cause hearing courtroom north lashann dearcy hall order,order show_cause let deft flasr show_cause order feed r p rule u_c final determination flsr show_cause hearing courtroom north lashann dearcy hall order,"['order show cause let deft flasr show cause order fed.r.civ.p .', 'rule u.s.c .', 'final determination flsr .', 'show cause hearing courtroom north lashann dearcy hall.. order .']","['order show cause let deft flasr show cause order fed.r.civ.p .', 'rule u.s.c .', 'final determination flsr .', 'show cause hearing courtroom north lashann dearcy hall.. order .']","['order show_cause let deft flasr show_cause order fed.r.civ.p .', 'rule u.s.c .', 'final determination flsr .', 'show_cause hearing courtroom north lashann dearcy hall.. order .']",Motion,Y,Triage
"RULE 56.1 STATEMENT re 6 Order to Show Cause, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 07/14/2016)",LG Capital Funding,( Kehrli Kevin,"RULE 56.1 STATEMENT re 6 Order to Show Cause , filed by -ORG- -ORG- -ORG- , LLC . -NAME- -NAME- , -NAME- ) ( Entered : 07/14/2016 )","RULE 56.1 STATEMENT re 6 Order to Show Cause , filed by , LLC . , ) ( Entered : 07/14/2016 )",rule order show cause,,rule order show cause,rule order show_cause,"['rule order show cause file .', '']","['rule order show cause file .', '']","['rule order show_cause file .', '']",Summary Judgment Filing,Y,Triage
"ORDER: Plaintiffs are hereby directed to serve this Court's July 8, 2016 Order to Show Cause and accompanying papers via email to Defendants CEO, as well as to the company's general email address. Plaintiffs must file proof of the same by August 4, 2016. A hearing on the Order to Show Cause shall proceed on August 12, 2016, as originally scheduled. Ordered by Judge LaShann DeArcy Hall on 8/2/2016. (Valentin, Winnethka) (Entered: 08/02/2016)",,LaShann DeArcy Hall ( Valentin,"ORDER : Plaintiffs are hereby directed to serve this Court 's July 8 , 2016 Order to Show Cause and accompanying papers via email to Defendants CEO , as well as to the company 's general email address . Plaintiffs must file proof of the same by August 4 , 2016 . A hearing on the Order to Show Cause shall proceed on August 12 , 2016 , as originally scheduled . Ordered by Judge -NAME- -NAME- -NAME- on 8/2/2016 . -NAME- -NAME- , Winnethka ) ( Entered : 08/02/2016 )","ORDER : Plaintiffs are hereby directed to serve this Court 's July 8 , 2016 Order to Show Cause and accompanying papers via email to Defendants CEO , as well as to the company 's general email address . Plaintiffs must file proof of the same by August 4 , 2016 . A hearing on the Order to Show Cause shall proceed on August 12 , 2016 , as originally scheduled . Ordered by Judge on 8/2/2016 . , Winnethka ) ( Entered : 08/02/2016 )",order serve order show cause accompany via email ceo well company general email address proof hearing order show cause proceed originally schedule order winnethka,,order serve order show cause accompany via email ceo well company general email address proof hearing order show cause proceed originally schedule order winnethka,order serve order show_cause accompany via email ceo well company general email address proof hearing order show_cause proceed originally schedule order winnethka,"['order serve order show cause accompany via email ceo well company general email address .', 'file proof .', 'hear order show cause proceed originally schedule .', 'order .', 'winnethka']","['order serve order show cause accompany via email ceo well company general email address .', 'file proof .', 'hear order show cause proceed originally schedule .', 'order .', 'winnethka']","['order serve order show_cause accompany via email ceo well company general email address .', 'file proof .', 'hear order show_cause proceed originally schedule .', 'order .', 'winnethka']",Court's Order,Y,Triage
"Proposed Findings of Fact by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 08/04/2016)",LG Capital Funding,Kevin,"Proposed Findings of Fact by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 08/04/2016 )","Proposed Findings of Fact by , LLC ( Kehrli , ) ( Entered : 08/04/2016 )",propose finding,,propose finding,propose_finding,['propose finding'],['propose finding'],['propose_finding'],Summary Judgment Filing,Y,Triage
"Witness List by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 12/07/2016)",LG Capital Funding,Kevin,"Witness List by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 12/07/2016 )","Witness List by , LLC ( Kehrli , ) ( Entered : 12/07/2016 )",list,,list,list,['list'],['list'],['list'],Trial Filing,Y,Triage
"Letter Dkt. 29 Re-Filed With Exhibits by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - Email 1, # 2 Exhibit B - Email 2) (Kehrli, Kevin) (Entered: 02/07/2017)",LG Capital Funding Email,Kevin,"Letter Dkt . 29 Re-Filed With Exhibits by -ORG- -ORG- -ORG- , LLC ( Attachments : # 1 Exhibit A - -ORG- 1 , # 2 Exhibit B - Email 2 ) ( Kehrli , -NAME- ) ( Entered : 02/07/2017 )","Letter Dkt . 29 Re-Filed With Exhibits by , LLC ( Attachments : # 1 Exhibit A - 1 , # 2 Exhibit B - Email 2 ) ( Kehrli , ) ( Entered : 02/07/2017 )",letter dkt refiled,,letter dkt refiled,letter dkt refiled,"['letter dkt .', 'refiled']","['letter dkt .', 'refiled']","['letter dkt .', 'refiled']",Letter to Court,Y,Triage
"MOTION for Contempt by LG Capital Funding, LLC. (Attachments: # 1 Declaration of Kevin Kehrli, # 2 Exhibit A - Injunction Order, # 3 Exhibit B - Email 1, # 4 Exhibit C - Email 2, # 5 Exhibit D - Email 3, # 6 Declaration of Joseph Lerman, # 7 Exhibit A - SEC Filings, # 8 Exhibit B - NTN 10K, # 9 Memorandum in Support) (Kehrli, Kevin) (Entered: 02/13/2017)",LG Capital Funding Exhibit C - Email Exhibit D - Email SEC NTN,Kevin Kehrli Joseph Lerman Kevin,"MOTION for Contempt by -ORG- -ORG- -ORG- , LLC . ( Attachments : # 1 Declaration of -NAME- -NAME- , # 2 Exhibit A - Injunction Order , # 3 Exhibit B - Email 1 , # 4 -ORG- -ORG- -ORG- -ORG- 2 , # 5 -ORG- -ORG- -ORG- -ORG- 3 , # 6 Declaration of -NAME- -NAME- , # 7 Exhibit A - -ORG- Filings , # 8 Exhibit B - -ORG- 10K , # 9 Memorandum in Support ) ( Kehrli , -NAME- ) ( Entered : 02/13/2017 )","MOTION for Contempt by , LLC . ( Attachments : # 1 Declaration of , # 2 Exhibit A - Injunction Order , # 3 Exhibit B - Email 1 , # 4 2 , # 5 3 , # 6 Declaration of , # 7 Exhibit A - Filings , # 8 Exhibit B - 10K , # 9 Memorandum in Support ) ( Kehrli , ) ( Entered : 02/13/2017 )",motion contempt,,motion contempt,motion contempt,['motion contempt .'],['motion contempt .'],['motion contempt .'],Motion,Y,Triage
"ORDER: Plaintiff's February 13, 2017 Motion 31 for contempt is hereby respectfully referred to United States Magistrate Judge James Orenstein for a Report and Recommendation. Ordered by Judge LaShann DeArcy Hall on 2/28/2017. (Valentin, Winnethka) (Entered: 02/28/2017)",,James Orenstein LaShann DeArcy Hall ( Valentin,"ORDER : Plaintiff 's February 13 , 2017 Motion 31 for contempt is hereby respectfully referred to United States Magistrate Judge -NAME- -NAME- for a Report and Recommendation . Ordered by Judge -NAME- -NAME- -NAME- on 2/28/2017 . -NAME- -NAME- , Winnethka ) ( Entered : 02/28/2017 )","ORDER : Plaintiff 's February 13 , 2017 Motion 31 for contempt is hereby respectfully referred to United States Magistrate Judge for a Report and Recommendation . Ordered by Judge on 2/28/2017 . , Winnethka ) ( Entered : 02/28/2017 )",order motion contempt respectfully united report recommendation order winnethka,,order motion contempt respectfully united report recommendation order winnethka,order motion contempt respectfully united report recommendation order winnethka,"['order motion contempt respectfully united state report recommendation .', 'order .', 'winnethka']","['order motion contempt respectfully united state report recommendation .', 'order .', 'winnethka']","['order motion contempt respectfully united state report recommendation .', 'order .', 'winnethka']",Court's Order,Y,Triage
